ur,your,
nt,not,
wat,what,
wen,when,
app,application,
n,and,
opp,opposite,
r,are,
u,you,
ma,my,mother
nyc,nice,new york
sys,system,
pls,please,
sme,some,same
txt,text,
nxt,next,
btw,between,by the way
nite,night,
frm,from,
hre,here,her
upto,up to,
plz,please,
d,the,
bcoz,because,
coz,because,
chk,check,
y,why,
m,am,
gud,good,
tym,time,
iam,I am,
pl,please,
thnk,thank,
shud,should,
thnx,thanks,
tnx,thanks,
thx,thanks,
wrst,worst,
fr,for,
plzz,please,
msg,message,
frnd,friend,
frndly,friendly,
lil,little,
wd,would,
luv,love,
awsm,awesome,
knw,know,
aftr,after,
cz,because,
Im,I am,
pl,please,
cuz,because,
plzzz,please,
plzzzz,please,
plzzzzz,please,
nyt,night,
bt,but,
fav,favourite,
approx,approximate,
qlty,quality,
qnty,quantity,
bcz,because,
urs,yours,
thru,through,
nw,now,
hv,have,
corct,correct,
tanq,thank you,
apps,applications,
ppl,people,
nd,and,
luk,look,
wch,which,
goog,google,
opt,option,
donno,don’t know,
osam,awesome,
fcking,fucking,
fck,fuck,
caz,because,
cudnt,couldn’t,
cud,could,
ws,was,
refrd,referred,
tats,that is,
tat,that,
pkt,packet,
pic,picture,
yrs,years,
prcing,pricing,
prc,price,
tnku,thank you,
wit,with,
wt,with,
ths,this,
bt,but,
lv,love,
dont,don’t,
didnt,didn’t,
dint,didn’t,
couldnt,couldn’t,
shouldnt,shouldn’t,
hadnt,hadn’t,
cant,can’t,
dnt,don’t,
spec,specification,
tnq,thank you,
thankq,thank you,
thnkq,thank you,
ok,okay,
fr,for,
nd,and,
pl,please,
bfr,before,
colour,color,
ws,was,
thanx,thanks,
fm,from,
pics,pictures,
abt,about,
